# x , y_interp , y_ans, int_y_interp, int_y_ans 
0.000000 0.000000 0.000000  0.000000 0.000000
0.100000 0.200000 0.200000  0.010000 0.010000
0.200000 0.400000 0.400000  0.040000 0.040000
0.300000 0.600000 0.600000  0.090000 0.090000
0.400000 0.800000 0.800000  0.160000 0.160000
0.500000 1.000000 1.000000  0.250000 0.250000
0.600000 1.200000 1.200000  0.360000 0.360000
0.700000 1.400000 1.400000  0.490000 0.490000
0.800000 1.600000 1.600000  0.640000 0.640000
0.900000 1.800000 1.800000  0.810000 0.810000
1.000000 2.000000 2.000000  1.000000 1.000000
1.100000 2.200000 2.200000  1.210000 1.210000
1.200000 2.400000 2.400000  1.440000 1.440000
1.300000 2.600000 2.600000  1.690000 1.690000
1.400000 2.800000 2.800000  1.960000 1.960000
1.500000 3.000000 3.000000  2.250000 2.250000
1.600000 3.200000 3.200000  2.560000 2.560000
1.700000 3.400000 3.400000  2.890000 2.890000
1.800000 3.600000 3.600000  3.240000 3.240000
1.900000 3.800000 3.800000  3.610000 3.610000
