radius	calculated	analytical
0	0	0
0.1	0.0904836	0.0904837
0.2	0.163746	0.163746
0.3	0.222245	0.222245
0.4	0.268128	0.268128
0.5	0.303265	0.303265
0.6	0.329287	0.329287
0.7	0.34761	0.34761
0.8	0.359463	0.359463
0.9	0.365913	0.365913
1	0.367879	0.367879
1.1	0.366158	0.366158
1.2	0.361433	0.361433
1.3	0.354292	0.354291
1.4	0.345236	0.345236
1.5	0.334696	0.334695
1.6	0.323035	0.323034
1.7	0.310562	0.310562
1.8	0.297538	0.297538
1.9	0.284181	0.28418
2	0.270671	0.270671
2.1	0.257159	0.257158
2.2	0.243767	0.243767
2.3	0.230596	0.230595
2.4	0.217724	0.217723
2.5	0.205213	0.205212
2.6	0.193112	0.193111
2.7	0.181455	0.181455
2.8	0.170269	0.170268
2.9	0.159568	0.159567
3	0.149362	0.149361
3.1	0.139653	0.139653
3.2	0.13044	0.130439
3.3	0.121715	0.121714
3.4	0.11347	0.113469
3.5	0.105691	0.105691
3.6	0.0983659	0.0983654
3.7	0.0914774	0.091477
3.8	0.0850092	0.0850089
3.9	0.0789437	0.0789435
4	0.0732628	0.0732626
4.1	0.0679482	0.067948
4.2	0.0629815	0.0629814
4.3	0.0583447	0.0583448
4.4	0.0540202	0.0540203
4.5	0.0499904	0.0499905
4.6	0.0462384	0.0462384
4.7	0.0427477	0.0427478
4.8	0.0395024	0.0395028
4.9	0.0364879	0.0364883
5	0.0336894	0.0336897
5.1	0.0310931	0.0310934
5.2	0.0286858	0.0286861
5.3	0.026455	0.0264554
5.4	0.024389	0.0243895
5.5	0.0224767	0.0224772
5.6	0.0207075	0.020708
5.7	0.0190715	0.019072
5.8	0.0175592	0.0175598
5.9	0.016162	0.0161627
6	0.0148718	0.0148725
6.1	0.0136808	0.0136815
6.2	0.0125817	0.0125825
6.3	0.011568	0.0115687
6.4	0.0106331	0.010634
6.5	0.00977146	0.00977235
6.6	0.00897751	0.00897843
6.7	0.00824616	0.00824711
6.8	0.00757267	0.00757367
6.9	0.00695264	0.00695372
7	0.00638197	0.00638317
7.1	0.00585699	0.00585824
7.2	0.0053741	0.00537542
7.3	0.00493004	0.00493143
7.4	0.00452179	0.00452327
7.5	0.00414653	0.00414813
7.6	0.00380165	0.00380343
7.7	0.00348488	0.00348677
7.8	0.00319392	0.00319593
7.9	0.00292672	0.00292887
8	0.00268139	0.0026837
8.1	0.00245617	0.00245867
8.2	0.00224943	0.00225216
8.3	0.00205971	0.00206269
8.4	0.00188568	0.00188889
8.5	0.00172603	0.00172948
8.6	0.00157958	0.00158331
8.7	0.00144526	0.0014493
8.8	0.00132206	0.00132645
8.9	0.00120907	0.00121386
9	0.00110545	0.00111069
9.1	0.00101048	0.00101616
9.2	0.000923401	0.000929562
9.3	0.000843553	0.000850245
9.4	0.000770328	0.000777606
9.5	0.000703166	0.000711092
9.6	0.000641547	0.000650196
9.7	0.000584988	0.00059445
9.8	0.000533095	0.000543426
9.9	0.000485479	0.000496729
10	0.00044174	0.000453999
10.1	0.000401537	0.000414904
10.2	0.000364554	0.000379137
10.3	0.000330501	0.000346421
10.4	0.000299106	0.000316498
10.5	0.000270115	0.000289133
10.6	0.000243289	0.00026411
10.7	0.000218491	0.000241231
10.8	0.000195475	0.000220315
10.9	0.000174054	0.000201195
11	0.000154054	0.000183719
11.1	0.000135314	0.000167747
11.2	0.000117683	0.000153151
11.3	0.000101015	0.000139814
11.4	8.51723e-05	0.000127629
11.5	7.00206e-05	0.000116496
11.6	5.54417e-05	0.000106327
11.7	4.13636e-05	9.70377e-05
11.8	2.76286e-05	8.85538e-05
11.9	1.41232e-05	8.08058e-05
12	7.35173e-07	7.37305e-05
