t	 y(t)	 exact
0 0.5 0.5
0.1 0.524979 0.524979
0.2 0.549834 0.549834
0.3 0.574443 0.574443
0.4 0.598688 0.598688
0.5 0.622459 0.622459
0.6 0.645656 0.645656
0.7 0.668188 0.668188
0.8 0.689974 0.689974
0.9 0.710949 0.71095
1 0.731058 0.731059
1.1 0.75026 0.75026
1.2 0.768524 0.768525
1.3 0.785834 0.785835
1.4 0.802183 0.802184
1.5 0.817574 0.817574
1.6 0.832018 0.832018
1.7 0.845535 0.845535
1.8 0.858149 0.858149
1.9 0.869891 0.869892
2 0.880797 0.880797
2.1 0.890903 0.890903
2.2 0.90025 0.90025
2.3 0.908877 0.908877
2.4 0.916828 0.916827
2.5 0.924142 0.924142
2.6 0.930862 0.930862
2.7 0.937027 0.937027
2.8 0.942676 0.942676
2.9 0.947847 0.947846
3 0.952575 0.952574
